,Sigma,Quantile,Acquisition Function,Optimal Sigma,Optimal Quantile,3D Porosity Diff(%),"2D Porosity Diff(10,%)","Specific Area Diff(10,%)"
0,0.82,0.5,ucb,0.9670289449853247,0.5916927780277789,18.338555555555548,19.788900391592016,9.915987349894785
1,0.82,0.5,ei,0.8387600010131062,0.5098253299088515,1.965074074074069,1.8959877161359353,2.406287279802876
2,0.82,0.5,poi,0.9348825739086025,0.553419471985303,10.683888888888893,9.83519756436561,10.85893004450906
3,1.55,0.5,ucb,1.6123299026649527,0.5101412441896725,2.0282592592592685,1.719431112676685,1.6814548545086727
4,1.55,0.5,ei,1.3568563989426727,0.43441434439906185,13.117111111111113,12.30463904738279,9.322027910774581
5,1.55,0.5,poi,1.123455914916339,0.34336358220059804,31.327259259259254,30.664920768786896,13.230179933888579
6,2.48,0.65,ucb,2.4660513893212945,0.6544040264372551,0.6775498575498554,0.2881209430029107,5.058100479747204
7,2.48,0.65,ei,2.8870389605073097,0.7018671489449192,7.979544159544153,0.8269364968597414,14.939500304863381
8,2.48,0.65,poi,2.836530668343516,0.7082971083763449,8.968774928774929,4.664393246277973,19.88938661436482
9,5.96,0.7,ucb,6.560345981623014,0.7016429768575938,0.23470899470899392,5.682390080980922,4.126640771678273
10,5.96,0.7,ei,6.559215017692929,0.6966526370376898,0.47820105820105063,1.0487077534791251,6.270531202241755
11,5.96,0.7,poi,4.75530141455886,0.6097549942153601,12.892142857142844,17.10981225097284,42.243132065266344
12,7.79,0.8,ucb,8.06199930518424,0.8011113218368306,0.13891203703703114,9.195230796359338,1.157962839634594
13,7.79,0.8,ei,8.074834846138229,0.7915383503482638,1.0577083333333377,0.2470348987975721,1.980702377196197
14,7.79,0.8,poi,8.015622332849281,0.7812203895976584,2.3474537037037058,2.168251558849335,2.0140821384114393
