,Sigma,Quantile,Acquisition Function,Optimal Sigma,Optimal Quantile,Time
0,0.82,0.5,ucb,1.302131236684986,0.7349196276659046,58.80238747596741
1,0.82,0.5,ei,0.9865153156662387,0.5991090940042306,49.67365121841431
2,0.82,0.5,poi,0.8628442163207494,0.5412182410383716,50.15394425392151
3,1.55,0.5,ucb,1.3813387977674687,0.45797895970359437,49.966702938079834
4,1.55,0.5,ei,1.332945837934448,0.42725495219793697,50.460060358047485
5,1.55,0.5,poi,1.4494989326333687,0.4701953597747515,50.746821880340576
6,2.48,0.65,ucb,2.829707890859353,0.7343425620803973,60.11196160316467
7,2.48,0.65,ei,1.5212475244880808,0.4076745482582524,49.621811389923096
8,2.48,0.65,poi,2.9366166989592335,0.7228785348802717,50.24061679840088
9,5.96,0.7,ucb,6.5117281488439,0.7345770923800764,58.4116530418396
10,5.96,0.7,ei,6.560870771833648,0.6943607961438313,56.519683837890625
11,5.96,0.7,poi,6.5590527564724646,0.6950799294259529,54.673834800720215
12,7.79,0.8,ucb,6.502495274200046,0.7372604350985982,59.56300663948059
13,7.79,0.8,ei,8.089568830474445,0.8079948450949269,59.20982217788696
14,7.79,0.8,poi,8.045750448774914,0.797642625344863,59.73958373069763
